name,total.pop,white,black,hispanic,asian
"arkansas,hempstead",22609,56.5,31.300000000000004,12,0.4
"arkansas,hot spring",32923,84.1,12.6,2.8,0.3
"arkansas,howard",13789,67.4,21.9,9.8,0.6
"arkansas,independence",36647,89.8,3.5,5.8,0.8
"arkansas,izard",13696,95,2.6,1.5,0.3
"arkansas,jackson",17997,78.8,18.2,2.4,0.3
"arkansas,jefferson",77435,41.4,56.3,1.6,0.8
"arkansas,johnson",25540,83.5,3.4,12.1,0.7
"arkansas,lafayette",7645,59.9,38,1.7,0.3
"arkansas,lawrence",17415,96.7,2,0.9,0.1
"arkansas,lee",10424,41.4,56.4,1.6,0.4
"arkansas,lincoln",14134,65.8,30.9,3.2,0.2
"arkansas,little river",13171,74.6,21.1,2.7,0.3
"arkansas,logan",22353,92.2,3.2,2.3,1.6
"arkansas,lonoke",68356,87.9,7.799999999999999,3.3,0.8
"arkansas,madison",15717,91.9,1.9,4.8,0.5
"arkansas,marion",16653,95.9,1.8,1.7,0.2
"arkansas,miller",43462,70.6,26.2,2.4,0.5
"arkansas,mississippi",46480,60.5,35.5,3.6,0.5
"arkansas,monroe",8149,55.8,42,1.6,0.4
"arkansas,montgomery",9487,92.8,2.2,3.8,0.5
"arkansas,nevada",8997,65.1,32.1,2.4,0.3
"arkansas,newton",8330,94.8,2.3,1.7,0.3
"arkansas,ouachita",26120,56.3,41.7,1.6,0.4
"arkansas,perry",10445,93.6,3.5,2.4,0.2
"arkansas,phillips",21757,34.6,64,1.3,0.3
"arkansas,pike",11291,88.2,4.6,6.4,0.5
"arkansas,poinsett",24583,89,8.6,2.2,0.2
"arkansas,polk",20662,89.8,2.6,5.8,0.5
"arkansas,pope",61754,86.9,5.1,6.7,1
"arkansas,prairie",8715,85.7,13.1,0.9,0.1
"arkansas,pulaski",382748,55.3,37,5.8,2
"arkansas,randolph",17969,95.9,2.1,1.6,0.2
"arkansas,st francis",28258,42.4,53.4,4.1,0.5
"arkansas,saline",107118,89,6.1,3.8,0.9
"arkansas,scott",11233,85.3,3,7,3.4
"arkansas,searcy",8195,95.2,2.4,1.5,0.1
"arkansas,sebastian",125744,72.8,10,12.3,4.1
"arkansas,sevier",17058,61.1,7.4,30.6,0.4
"arkansas,sharp",17264,95,2.2,1.7,0.3
"arkansas,stone",12394,96.1,1.7,1.3,0.4
"arkansas,union",41639,61.79999999999999,34.2,3.5,0.5
"arkansas,van buren",17295,94.1,2.4,2.7,0.3
"arkansas,washington",203065,74.1,5.8,15.5,2.2
"arkansas,white",77076,89.6,5.8,3.7,0.5
"arkansas,woodruff",7260,69.4,28.9,1.2,0.2
"arkansas,yell",22185,76.7,3.1,19.1,1.3
"california,alameda",1510271,34.1,18.6,22.5,26.1
"california,alpine",1175,72.5,2.4,7.1,0.6
"california,amador",38091,79.6,6.1,12.5,1.1
"california,butte",220000,75.2,6.3,14.1,4.1
"california,calaveras",45578,83.5,4.8,10.3,1.3
"california,colusa",21419,39.8,4.5,55.10000000000001,1.3
"california,contra costa",1049025,47.8,15.2,24.4,14.4
"california,del norte",28610,64.7,8,17.8,3.4
"california,el dorado",181058,79.9,4.6,12.1,3.5
"california,fresno",930450,32.7,9.9,50.3,9.6
"california,glenn",28122,55.9,4.4,37.5,2.6
"california,humboldt",134623,77.2,6.4,9.8,2.2
"california,imperial",174528,13.700000000000001,7.7,80.4,1.5999999999999999
"california,inyo",18546,66.3,4,19.4,1.3
"california,kern",839631,38.6,10.3,49.2,4.2
"california,kings",152982,35.2,12.1,50.9,3.7
"california,lake",64665,74.1,6.6,17.1,1.1
"california,lassen",34895,66.7,11.6,17.5,1
"california,los angeles",9818605,27.8,13.2,47.7,13.7
"california,madera",150865,38,7.9,53.7,1.9
"california,marin",252409,72.8,7,15.5,5.5
"california,mariposa",18251,83.2,4.8,9.2,1.1
"california,mendocino",87841,68.6,5.2,22.2,1.6999999999999997
"california,merced",255793,31.9,8.5,54.9,7.4
"california,modoc",9686,79,4.7,13.899999999999999,0.8
"california,mono",14202,68.2,3.2,26.5,1.4
"california,monterey",415057,32.9,8.2,55.4,6.1
"california,napa",136484,56.4,6,32.2,6.8
"california,nevada",98764,86.5,3.6,8.5,1.2
"california,orange",3010232,44.1,5.9,33.7,17.9
"california,placer",348432,76.1,5.7,12.800000000000002,5.9
"california,plumas",20007,85,4.6,8,0.7
"california,riverside",2189641,39.7,11.2,45.5,6
"california,sacramento",1418788,48.4,17,21.6,14.3
"california,san benito",55269,38.3,5.8,56.4,2.6
"california,san bernardino",2035210,33.3,14,49.2,6.3
"california,san diego",3095313,48.5,10.2,32,10.9
"california,san francisco",805235,41.9,10.7,15.1,33.3
"california,san joaquin",685306,35.9,13.9,38.9,14.4
"california,san luis obispo",269637,71.1,5.8,20.8,3.2
"california,san mateo",718451,42.3,8.2,25.4,24.8
"california,santa barbara",423895,47.9,6.6,42.9,4.9
"california,santa clara",1781642,35.2,7.5,26.9,32
"california,santa cruz",262382,59.6,5.7,32,4.2
"california,shasta",177223,82.4,5.3,8.4,2.5
"california,sierra",3240,88.1,2.6,8.3,0.4
"california,siskiyou",44900,79.5,6.6,10.3,1.2
"california,solano",413344,40.8,22.300000000000004,24,14.599999999999998
"california,sonoma",483878,66.1,6,24.9,3.8
"california,stanislaus",514453,46.7,8.3,41.9,5.1
"california,sutter",94737,50.4,7.6,28.8,14.4
"california,tehama",63463,71.9,4.9,21.9,1
"california,trinity",13786,83.5,5.6,7,0.7
"california,tulare",442179,32.6,5.799999999999999,60.60000000000001,3.3999999999999995
"california,tuolumne",55365,81.9,5.7,10.7,1
"california,ventura",823318,48.7,6.299999999999999,40.3,6.700000000000001
"california,yolo",200849,49.9,8.4,30.3,13
"california,yuba",72155,58.8,10.3,25,6.7
"colorado,adams",441603,53.2,7,38,3.6
"colorado,alamosa",15445,49.6,5.5,46,1
"colorado,arapahoe",572003,63.2,14.4,18.4,5.1
"colorado,archuleta",12084,78.2,3.1,17.8,0.7
"colorado,baca",3788,87.7,2.2,9.2,0.2
"colorado,bent",6499,59,9.6,30.5,1
"colorado,boulder",294567,79.4,3.5,13.3,4.1
"colorado,chaffee",17809,86.6,3.1,9.4,0.6
"colorado,cheyenne",1836,88.1,1.4,9.7,0.6
"colorado,clear creek",9088,92.1,2.3,4.7,0.6
"colorado,conejos",8256,41.8,4.4,56,0.3
"colorado,costilla",3524,30.8,5,66,1
"colorado,crowley",5823,57.9,11.3,29,1
"colorado,custer",4255,92,2.7,4.7,0.4
"colorado,delta",30952,83,2.8,14,0.5
"colorado,denver",600158,52.2,14.3,31.800000000000004,3.4
"colorado,dolores",2064,90.9,2.6,4,0.1
"colorado,douglas",285465,85.2,3.8,7.5,3.8
"colorado,eagle",52197,67.3,2.7999999999999994,30.100000000000005,1
"colorado,elbert",23086,91,2.6,5.3,0.7
"colorado,el paso",622263,72,11.3,15.099999999999998,2.7
"colorado,fremont",46824,80.4,5.8,12.3,0.6
"colorado,garfield",56389,68.8,3.3,28.3,0.7
"colorado,gilpin",5441,90.9,2.3,4.9,1.4
"colorado,grand",14843,89.7,2,7.5,0.8
"colorado,gunnison",15324,89.1,2.3,8.2,0.7
"colorado,hinsdale",843,93.2,2.1,2.7999999999999994,0.4000000000000001
"colorado,huerfano",6711,61.89999999999999,4.4,35.3,0.4
"colorado,jackson",1394,87.4,1.1,10.8,0.1
"colorado,jefferson",534543,79.9,3.8,14.3,2.6
"colorado,kiowa",1398,93.3,1.8,5.6,0
"colorado,kit carson",8270,76.4,4.1,19,0.4
"colorado,lake",7310,58.2,4,39.1,0.5
"colorado,la plata",51334,80.3,3.5,11.8,0.6
"colorado,larimer",299630,84.5,3.5,10.6,1.9
"colorado,las animas",15507,54.2,4.8,41.6,0.7
"colorado,lincoln",5467,79.5,7.2,12.5,0.8
"colorado,logan",22709,78.2,5.5,15.599999999999998,0.6
"colorado,mesa",146723,83.1,3.3,13.3,0.8
"colorado,mineral",712,95.20000000000002,1.6999999999999997,2.8999999999999995,0.1
"colorado,moffat",13795,82.7,2.5,14.4,0.6
"colorado,montezuma",25535,75.1,2.9,11,0.5
"colorado,montrose",41276,77.5,2.8,19.7,0.6
"colorado,morgan",28159,61.7,5.2,33.8,0.5
"colorado,otero",18831,56.5,4.6,40.3,0.8
"colorado,ouray",4436,93.4,1.5,4.4,0.6
"colorado,park",16206,91.6,2.8,4.8,0.6
"colorado,phillips",4442,79.4,1.8,18.7,0.6
"colorado,pitkin",17148,87.9,1.9,9.1,1.2
"colorado,prowers",12551,62.7,3.1,35.2,0.3
"colorado,pueblo",159063,54.1,5.7,41.4,0.8
"colorado,rio blanco",6666,86.29999999999998,3,10,0.3
"colorado,rio grande",11982,55.10000000000001,3.6000000000000005,42.4,0.4
"colorado,routt",23509,90.6,2,6.799999999999999,0.6
"colorado,saguache",6108,56.4,3,40.1,0.8
"colorado,san juan",699,85.1,2.3,12,1.1
"colorado,san miguel",7359,88.5,2.2,8.6,0.7
"colorado,sedgwick",2379,85.6,2,12.1,0.7
"colorado,summit",27994,82.70000000000002,2.3999999999999995,14.2,1
"colorado,teller",23350,90.6,2.9,5.5,0.7
"colorado,washington",4814,89.4,2.1,8.5,0.2
"colorado,weld",252825,67.6,3.9,28.4,1.2
"colorado,yuma",10043,77.9,1.3,20.8,0.2
"connecticut,fairfield",916829,66.2,13.5,16.9,4.6
"connecticut,hartford",894014,66.1,16,15.3,4.2
"connecticut,litchfield",189927,91.29999999999998,2.8999999999999995,4.5,1.5
"connecticut,middlesex",165676,86.4,6.699999999999999,4.7,2.6
"connecticut,new haven",862477,67.5,15.4,15,3.5
"connecticut,new london",274055,78.3,9.5,8.5,4.2
"connecticut,tolland",152691,87.5,5.1,4.3,3.4
"connecticut,windham",118428,85.4,4.5,9.6,1.2
"delaware,kent",162310,65.2,27.5,5.8,2
"delaware,new castle",538479,61.6,26.3,8.7,4.3
"delaware,sussex",197145,75.6,15,8.6,1
"district of columbia,washington",NA,NA,NA,NA,NA
"florida,alachua",247336,63.7,23,8.4,5.4
"florida,baker",27115,82.4,15.1,1.9,0.5
"florida,bay",168852,79.2,13.900000000000002,4.8,2
"florida,bradford",28520,73.9,22,3.6,0.5
"florida,brevard",543376,77.6,12.7,8.1,2.1
"florida,broward",1748066,43.5,29.699999999999996,25.1,3.2
"florida,calhoun",14625,77.7,16.1,5.2,0.5
"florida,charlotte",159978,86,7.3999999999999995,5.8,1.2
"florida,citrus",141236,89.6,4.4,4.7,1.4
"florida,clay",190865,77.2,12.8,7.7,2.9
"florida,collier",321520,65.7,8.5,25.9,1.1
"florida,columbia",67531,74.7,19.4,4.9,0.9
"florida,dade",2496435,15.4,21.3,65,1.5
"florida,de soto",NA,NA,NA,NA,NA
"florida,dixie",16422,86.6,9.9,3.1,0.3
"florida,duval",864263,56.60000000000001,32.4,7.6,4.2
"florida,escambia",297619,66.2,26.1,4.7,2.7
"florida,flagler",95696,76.1,13.7,8.6,2.1
"florida,franklin",11549,79.6,15.5,4.6,0.2
"florida,gadsden",46389,33.1,57.3,9.5,0.5
"florida,gilchrist",16939,87.9,6.8,5,0.4
"florida,glades",12884,61.7,14,21.1,0.4
"florida,gulf",15863,74.9,20.5,4.3,0.3
"florida,hamilton",14799,54.9,36.2,8.8,0.5
"florida,hardee",27731,48,9,42.9,1.1
"florida,hendry",39140,34.9,16.1,49.2,0.7
"florida,hernando",172778,82.1,7.1000000000000005,10.3,1.1
"florida,highlands",98786,70.7,11.599999999999998,17.4,1.5
"florida,hillsborough",1229226,53.7,19.8,24.9,3.4
"florida,holmes",19927,88.9,7.699999999999999,2.2,0.4
"florida,indian river",138028,77.4,10.6,11.2,1.2
"florida,jackson",49746,66.6,28.4,4.3,0.5
"florida,jefferson",14761,58.7,37.5,3.7,0.4
"florida,lafayette",8870,70.6,17.3,12.1,0.1
"florida,lake",297052,74.5,12,12.1,1.7
"florida,lee",618754,71,10.3,18.3,1.4
"florida,leon",275487,59.3,32.5,5.6,2.9
"florida,levy",40801,80.8,11.3,7.5,0.6
"florida,liberty",8365,73.6,19.6,6.2,0.2
"florida,madison",19224,55,40.1,4.7,0.2
"florida,manatee",322833,73.4,10.8,14.9,1.6
"florida,marion",331298,74,14.4,10.9,1.3
"florida,martin",146318,80.3,7,12.2,1.1
"florida,monroe",73090,71.3,7.5,20.6,1.1
"florida,nassau",73314,87.9,7.8999999999999995,3.2,0.9000000000000001
"florida,okaloosa:main",NA,NA,NA,NA,NA
"florida,okaloosa:spit",NA,NA,NA,NA,NA
"florida,okeechobee",39996,65.7,9.9,23.9,0.9
"florida,orange",1145956,46,24.2,26.9,4.9
"florida,osceola",268685,40.3,15.4,45.5,2.8
"florida,palm beach",1320134,60.1,19.6,19,2.4
"florida,pasco",464697,80.1,6.7,11.7,2.1
"florida,pinellas",916542,76.90000000000002,12.5,8,3
"florida,polk",602095,64.6,17.2,17.7,1.6
"florida,putnam",74364,72.6,17.9,9,0.6
"florida,st johns",190039,85.3,7.4,5.2,2.1
"florida,st lucie",277789,61.2,21.7,16.6,1.6
"florida,santa rosa",151372,85,8.4,4.3,1.8000000000000003
"florida,sarasota",379448,84.9,6.3,7.9,1.3
